filename,width,height,class,xmin,ymin,xmax,ymax
34. 726_shop1_866383.jpg,500,375,bearded,275,205,414,341
11.jpg,1268,989,bearded,1,531,674,915
22. CAM04341.jpg,550,412,bearded,121,33,489,362
5.jpg,1269,990,bearded,604,225,1146,730
48. Step-by-Step-Baby-Bearded-Dragon-Care-Guide-for-Beginner.jpg,640,400,bearded,358,19,490,400
39. e23aea1b50487ebce1174b387ec0b3fc.jpg,500,500,bearded,93,118,401,386
24. 3131_66627526_5.jpg,800,800,bearded,313,79,638,195
12. 70408539_1_1496919646_w640.jpg,640,640,bearded,3,56,291,368
41. 01-01_Bearded_Dragon_%28or_Pogona%29.jpg,743,557,bearded,1,71,701,517
22. what-is-a-bearded-dragon-670x405.jpg,670,405,bearded,1,104,670,384
45. 59720532_134598881046911_2102464241251007136_n.jpg,959,719,bearded,565,206,670,653
10. bearded-dragon-PJZX9XC-678x381.jpg,678,381,bearded,107,73,667,381
17.jpg,1274,990,bearded,546,320,1081,990
9. shutterstock_23034955.jpg,590,428,bearded,52,71,552,383
70. Bearded-dragon.jpg,1140,555,bearded,3,42,1140,533
42. highcolorbeardie_1200x1200.jpg,900,596,bearded,136,63,705,506
8. 60598473_136581747440798_7422679839182841975_n.jpg,801,801,bearded,124,188,797,801
60. 272_shop1_402506.jpg,500,333,bearded,1,106,361,273
21. 1429_shop1_15320767583262.jpg,500,375,bearded,149,45,337,375
38. sid-t1-0999.jpg,525,362,bearded,1,40,488,346
59. _tmp_8f4d5d1702bd66d35b9ba9ec8abcc43f6270view.jpg,400,534,bearded,25,162,381,318
19. 56197339_435211143714662_874107442304700461_n.jpg,1080,607,bearded,491,57,585,311
28. 85174971_1_1527941502_w640.jpg,640,640,bearded,219,246,597,492
94. hqdefault.jpg,480,360,bearded,286,103,471,257
91. centralbeard.jpg,800,480,bearded,127,168,764,342
94. 60749123_100972287807712_1947465640430714218_n.jpg,750,750,bearded,10,360,706,705
45. 59720532_134598881046911_2102464241251007136_n.jpg,959,719,bearded,624,219,757,615
49. central-bearded-dragon-2007156_960_720.jpg,960,640,bearded,383,198,960,617
8.jpg,1273,989,bearded,64,1,919,404
2. 8ca58cff7e0c6a13857d286669706564.jpg,500,281,bearded,1,55,426,279
34. 26184840_1033890340094629_6162588027429322752_n.jpg,750,936,bearded,106,343,750,683
94. hqdefault.jpg,480,360,bearded,191,44,285,225
7. healthy-bearded-dragon-long-1024x512.jpg,1024,512,bearded,74,14,882,493
9. bearded-dragon-7.jpg,910,650,bearded,50,74,837,632
9.jpg,1265,983,bearded,1,445,806,915
88. 62466706_1_1479295706_w640.jpg,640,640,bearded,25,123,469,640
72. 945_shop1_693989.jpg,500,500,bearded,77,20,415,466
74. 002005000009.jpg,500,500,bearded,125,118,493,500
15.jpg,1270,991,bearded,608,270,1270,922
45. 59720532_134598881046911_2102464241251007136_n.jpg,959,719,bearded,496,193,589,619
87. 623_beardeddragon_Mahesh-PuranikiStock-da0a1ab.jpg,620,413,bearded,247,127,620,332
9. 10744164885_8776c9bcc6_z.jpg,640,640,bearded,162,154,514,611
39. e23aea1b50487ebce1174b387ec0b3fc.jpg,500,500,bearded,139,88,285,269
27. 62453092_2695071870520503_861826330021353388_n.jpg,480,480,bearded,65,75,345,480
45. 59720532_134598881046911_2102464241251007136_n.jpg,959,719,bearded,4,253,105,584
19. s473297450421245086_p43_i1_w400.jpeg,400,598,bearded,23,68,385,598
78. bearded%20dragon%20red%20hypo%20translucent%20dunner%20g%20stripe%20male-500x500.jpg,500,500,bearded,120,8,381,460
45. 59720532_134598881046911_2102464241251007136_n.jpg,959,719,bearded,183,182,278,567
83. bearded-dragon-info.jpg,400,300,bearded,10,20,390,281
68. 57156534_335275274008506_3218197003933748327_n.jpg,640,640,bearded,183,184,640,562
24. 3131_66627526_5.jpg,800,800,bearded,161,306,640,427
9. 2446_shop1_15294241512993.jpg,368,500,bearded,6,100,360,378
19. 56197339_435211143714662_874107442304700461_n.jpg,1080,607,bearded,422,1,568,116
82. exoticdirect_sexing_your_bearded_dragon.jpg,960,450,bearded,1,130,805,340
50. small.jpg,340,480,bearded,7,17,324,480
83. 53123453_428005774639433_6098833458496605355_n.jpg,1080,720,bearded,374,57,737,720
14.jpg,1271,996,bearded,698,8,1107,730
80. close-up-of-two-bearded-dragon-on-rock_u-l-q1bm3t40.jpg,550,367,bearded,292,131,550,321
46. 208_shop1_152940328969.jpg,500,500,bearded,18,72,500,429
7.jpg,1272,992,bearded,5,41,965,433
64. Pogona-microlepidota-thumb.jpg,500,327,bearded,94,57,483,301
39. How-to-Buy-a-Healthy-Bearded-Dragon.jpg,800,300,bearded,116,6,718,241
1.jpg,1273,993,bearded,253,93,1181,595
39. 60726725_2183774945073405_4071032504404929747_n.jpg,480,480,bearded,120,1,399,480
19. 56197339_435211143714662_874107442304700461_n.jpg,1080,607,bearded,630,125,1080,359
9. DSCN0195.jpg,800,600,bearded,272,142,718,393
65. 50885496_335600593968456_7946848997128997950_n.jpg,750,750,bearded,89,164,750,651
45. 59720532_134598881046911_2102464241251007136_n.jpg,959,719,bearded,270,190,356,612
84. 1027_shop1_486919.jpg,500,500,bearded,72,126,500,401
53. 1526_shop1_460534.jpg,500,500,bearded,17,156,465,500
19. 56197339_435211143714662_874107442304700461_n.jpg,1080,607,bearded,1,363,781,606
22. News-Bearded-Dragon-Lizard-crMasonMuerhoff-05242018.jpg,640,480,bearded,1,40,569,460
7. 94285157_1_1545222320_w640.jpg,640,640,bearded,1,75,524,425
52. thumb-KakaoTalk_20190414_115052936_500x500.jpg,500,500,bearded,64,117,379,446
45. 59720532_134598881046911_2102464241251007136_n.jpg,959,719,bearded,730,202,833,676
45. 59720532_134598881046911_2102464241251007136_n.jpg,959,719,bearded,430,176,524,719
38. geckoholic_283.jpg,601,401,bearded,156,38,601,357
2. small.jpg,480,384,bearded,1,9,474,379
5. %BA%F1%BE%EE%B5%F04_%B1%B8%B1%DB.jpg,644,426,bearded,70,41,523,426
59. 93233-7191907810_small.jpg,375,501,bearded,134,229,241,501
45. 59720532_134598881046911_2102464241251007136_n.jpg,959,719,bearded,824,223,931,602
19. 2684_shop1_458038.jpg,368,500,bearded,10,182,357,346
89. 60797783_831033217263862_5301163751345822471_n.jpg,480,480,bearded,191,85,272,383
44. animal_bearded-dragon-juvenile.jpg,590,237,bearded,123,11,454,223
31. 61386037_317830865804204_4796977506450020051_n.jpg,1080,609,bearded,308,52,781,526
74. BeardedDragon.jpg,700,393,bearded,5,78,544,372
50. 364_shop1_166264.jpg,500,336,bearded,157,114,470,310
30. large-CB%207-10cm%20Bearded%20Dragon.jpg,750,536,bearded,43,63,691,522
69. bearded-dragon-shutterstock_275817140.jpg,712,473,bearded,88,85,463,459
